startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,Donostia Throughout History,"<p class=""lead""> The best way of adapting to a new country and a new culture is learning about it's most <strong>important events</strong>. In this sample timeline we are going to cover some of the most important events of Donostia's history, and explain their relevance to the city's culture. <p class=""lead"">Some of the events have a big relevance, because they have turned out in <strong>important cultural festivities</strong>, and some others are important to understand the origins of Donostia. <p class=""lead"">There are also some events that are related to <strong>political issues</strong>, but that are of big relevance to understand the recent history of Basque Country and Donostia. In fact, some of those events -although we talk about politics- had also a cultural background related with the defense of basque identity</p>",,,,,title,,https://elenaciordia.com/producto/lamina-la-concha-donostia-san-sebastian/,black
1180,,,,1180,,,,,<strong>Medieval and Early History</strong>. - <h>Foundation of the City.</h>,"<p class=""lead""> To know about the beginings of Donostia, we have to turn back to 12th Century, the time where the city was founded </p></div>                                                                                                                   <p>San Sebastián was officially founded by <strong>King Sancho VI of Navarre</strong> in the late 12th century, around 1180, as part of a strategic effort to consolidate Navarrese control over the Basque coast. To promote the growth of the settlement, the king granted it a <em>fuero</em>—a municipal charter—which provided legal and economic privileges to attract settlers, merchants, and artisans. <p>This charter encouraged trade and maritime activity, laying the foundations for San Sebastián's development as an important port city. <p>The granting of the <em>fuero</em> is documented in historical sources such as the works of historian José María Jimeno Jurío and records preserved in the Basque archives (<a href=""https://www.euskadi.eus/contenidos/informacion/historia_territorio/eu_15750/historia_territorio.html"" target=""_blank"">Euskadi Official History Portal</a>). <p>Over the centuries, San Sebastián evolved under varying sovereignties, but its initial establishment by King Sancho VI marked a critical step in its urban and economic growth.</p>",,Auñamendi Eusko Entziklopedia,Foundation of Donostia,,text,,https://s1.ppllstatics.com/diariovasco/www/multimedia/201912/01/media/cortadas/ss-maqueta-kwDH-U90841447539mJG-1968x1216@Diario%20Vasco.jpg,
1200,,,,1200,12,31,,,Incorporation into Castile,"<p>The city, along with the province of Gipuzkoa, was annexed by the <strong>Kingdom of Castile</strong>, shifting its allegiance from Navarre.</p>
</div>",https://upload.wikimedia.org/wikipedia/commons/0/08/Sancho_VI_de_Navarra_-_Compendio_de_cr%C3%B3nicas_de_reyes_%28Biblioteca_Nacional_de_Espa%C3%B1a%29.png,<strong>Wikipedia</strong>,King Sancho VI of Navarre,,text,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fes.wikipedia.org%2Fwiki%2FSancho_VI_de_Navarra&psig=AOvVaw0gdwk274BvueMyf3lQtfop&ust=1747987081299000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCPCilrrNto0DFQAAAAAdAAAAABAE,
1489,,,,1489,,,,,San Sebastián Opens the Gates to the New World,"<p>The city allowed to transport goods to and from the New World. As a result, <strong>San Sebastián grew into an important port city</strong>, gaining wealth and a stronger role in international trade during the Age of Exploration. <p>This privilege allowed local merchants to participate directly in transatlantic commerce, facilitating economic growth and increasing the city’s strategic importance within the Spanish Crown. <p> Historical records, such as those discussed in the <a href=""https://www.britannica.com/place/San-Sebastian"" target=""_blank"">Encyclopaedia Britannica</a> and detailed studies on Basque maritime trade, highlight how this development shaped San Sebastián’s urban and social landscape throughout the 16th century.</p>",https://www.sansebastianturismoa.eus/images/ssturismo/Belle_%C3%89poque/playa-gros-1865.jpg,<strong>San Sebastián Turismoa</strong>,Newport ship,,text,,,black
1489,1,28,,1545,,,,,The Fires that Shaped San Sebastián,"<p>In 1489, 1522, and 1545, <strong>San Sebastián was hit by a series of devastating fires that destroyed large parts of the city.</strong> These disasters led to major rebuilding efforts, the street San Martin was a result of the rebuilding process incentivated by the King Fernando The Catholic. This was a shift toward using more fire-resistant materials in architecture, <strong>changing the city's look and structure forever.</strong></p>",https://www.zumalakarregimuseoa.eus/es/images/bretxa.jpg,<strong>Zumalakarregi Museoa</strong>,Ilustration of the 31th August,,text,,,Black
1719,4,21,,1721,8,17,,,Occupation by French Force,"<p>In January 1719, France had the perfect pretext to declare war on Spain after a plot to overthrow the <strong>French regent, Philippe, Duke of Orleans</strong>, was uncovered. In total, around <strong> 1200 men fighted to deffend the city </stong>. Women also had an important role, helping the soldiers. After occupation, San Sebastían functioned as its strategic coastal role. </p>",https://aunamendi.eusko-ikaskuntza.eus/ImgsAuna/43036001.jpg,<strong>Auñamendi</strong>,Map of the city of Donostia in 1719 after the French occupation,,text,,https://upload.wikimedia.org/wikipedia/commons/4/4f/Siege_of_San_Sebastian_%281719%29.jpg,
1813,8,26,,1813,8,31,,,Destruction and Fire During the Peninsular War,"<p>After defeating Soult's counter-offensive through the Pyrenees at Sorauren, the town had withstood an assault in July. <p>However, more intense assault began on 26 August, and 31. Despite natural and human-made defenses, the town was captured, and the devastating fire spread throughout the whole town with many people dying, only the street named after that day<b> 31 de Agosto</b> survived. Today, people commemorate that dreadful day with silence and carry candles annually.</p>",https://youtu.be/MHlGEvFiqaA?feature=shared,<strong>Donosti City TV</strong>,<strong><em>31 de Agosto </em></strong>,,text,,,black
1830,,,,1830,,,,,First royal visit in San Sebastián,"<p><strong>Francisco de Paula</strong>, brother of the King Fernando VII and his wife Luisa Carlotta, sister of the Queen Maria Cristina. After their visit, other important royals visited the city, including the Queen Maria Cristina <strong> who had a huge impact on the city </strong> </p>",https://upload.wikimedia.org/wikipedia/commons/2/20/Francisco_de_Paula_de_Borb%C3%B3n.jpg,<strong>Wikipedia</strong>,Francisco de Paula de Borbón,,text,,,black
1863,5,4,,1863,,,,,Demolition of the City Walls,"<p> This event marked the beginning of modern San Sebastián and the urban expansion. Nowadays it is posible to see <strong> the limits of the wall marked in the floor of Boulevard </strong>. It is a detail that goes unnoticed by most people, <strong> but it shows part of San Sebastián's history. </stong> </p>",https://www.freewalkingtoursansebastian.com/wp-content/uploads/2022/04/munoa7.jpg,<strong>Gipuzkoa</strong>,Donostia when the Demolitio of the City Walls happened,,text,,https://www.freewalkingtoursansebastian.com/wp-content/uploads/2022/04/munoa1.jpg,
1912,,,,1921,,,,,Inauguration of Victoria Eugenia Theatre (1912) and Old Kursaal (1921),"<p>Cultural development flourished in San Sebastián during the late 19th and early 20th centuries, transforming the city into a prominent center of <strong>Belle Époque</strong> architecture and leisure. This period saw the construction of elegant buildings, grand hotels, and sophisticated promenades that attracted European aristocracy and the bourgeoisie, making the city a fashionable seaside resort. Due to the strong influence of Parisian urban design and architecture, San Sebastián earned the nickname <strong>""Little Paris""</strong>. <p>The city's layout, cultural life, and social customs mirrored those of the French capital, highlighting a cosmopolitan character that distinguished it from other Spanish cities. As described by the <a href=""https://www.sansebastianturismoa.eus/en/to-do/culture-art-architecture/belle-epoque"" target=""_blank"">San Sebastián Tourism Official Site</a> the city became a fashionable summer destination for European aristocracy, which spurred the construction of luxurious, French-style buildings during this era.</p>",https://i0.wp.com/artespana.es/wp-content/uploads/2024/02/6360.-San-Sebastian-Cartel-product-min.jpg,<strong>Artespana</strong>,Poster for the San Sebastián Kursal with an illustration of people from the bélé époque,,text,,https://www.victoriaeugenia.eus/100urte/images/VE_Postal2.jpg,
