startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,Evolution of social media and impact on the mental health of young people,"<p class=""lead"">Since the arrival of social media, these platforms have been key in how young people connect, see themselves and see the world. However, its impact on mental health has generated increasing concern.</p>",,,,,title,,https://images.unsplash.com/photo-1683721003111-070bcc053d8b?fm=jpg&q=60&w=3000&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8c29jaWFsJTIwbWVkaWElMjBsb2dvc3xlbnwwfHwwfHx8MA%3D%3D,
2004,2,4,,,,,,,Facebook,"<p><a href=""https://en.wikipedia.org/wiki/Facebook"">Facebook</a> marked the beginning of a new era of digital social connection. It allowed users to share aspects of their lives and connect with friends, but also introduced the phenomenon of constant comparison. Validation through <a href=""https://en.wikipedia.org/wiki/Like_button"">""likes""</a> and <a href=""https://en.wikipedia.org/wiki/Comment_(computer_programming)"">comments</a> began to have a significant emotional weight, which contributed to the development of social anxiety, digital dependence, and low self-esteem among adolescents.</p>

",https://youtu.be/-caBGOO3H64?feature=shared,,,,,,,
2005,2,14,,,,,,,Youtube,"<p><a href=""https://en.wikipedia.org/wiki/YouTube"">YouTube</a> has become one of the main sources of entertainment and learning for young people. It offers a space for <em>creative expression</em> and the development of positive communities. However, excessive consumption, exposure to <a href=""https://en.wikipedia.org/wiki/Influencer_marketing"">idealized lifestyles</a>, and the pursuit of popularity through content creation have also introduced challenges — including self-esteem issues, pressure for external validation, and difficulties in <a href=""https://extension.uga.edu/publications/detail.html?number=C1042&title=time-management-10-strategies-for-better-time-management"">time management</a>.</p>
<blockquote cite=""https://en.wikipedia.org/wiki/YouTube"">
  ""A platform for empowerment — and sometimes, pressure.""
</blockquote>
",https://static01.nyt.com/images/2021/06/08/business/08OnTech-YouTube-VideoStill/08OnTech-YouTube-VideoStill-videoLarge-v2.png,,,,,,,
2006,3,21,,,,,,,X (Twitter),"<p><a href=""https://en.wikipedia.org/wiki/Twitter"">Twitter</a> enabled quick participation in global conversations through short messages. While it has been a tool for <strong>youth activism</strong> and expression of ideas, its public and immediate nature increased exposure to criticism, comparison, and <mark>emotionally charged content</mark>. This dynamic has contributed to feelings of insecurity, polarization, and <a href=""https://blog.haiilo.com/blog/digital-fatigue/"">digital fatigue</a> among many teens.</p>",,,,,,,https://salesianos.info/wp-content/uploads/2023/10/28-VIVIR-CONECTADOS-Octubre.jpg,
2009,5,3,,,,,,,WhatsApp,"<p>WhatsApp, which gained <strong>massive popularity</strong> after its initial launch, introduced a 
<a href=""https://en.wikipedia.org/wiki/Instant_messaging"">direct, private, and continuous form of communication</a>. 
While it strengthened <em>bonds between friends and family</em>, it also brought 
<strong>social pressure</strong> related to constant availability, expectations for 
<em>immediate replies</em>, and anxiety caused by group chats. For some young people, 
overexposure to <a href=""https://en.wikipedia.org/wiki/Push_notification"">messages and notifications</a> 
led to <strong>stress</strong> and difficulty disconnecting.</p>
<span class=""tl-note"">This slide highlights the social impact of private messaging apps like WhatsApp.</span>",https://i.blogs.es/1db4be/whatsapp-interfaz-portada/1366_2000.jpeg,,,,,,https://i.pinimg.com/736x/8c/98/99/8c98994518b575bfd8c949e91d20548b.jpg,
2010,10,6,,,,,,,Instagram,"<p>With the launch of <a href=""https://en.wikipedia.org/wiki/Instagram"" target=""_blank"">Instagram</a> the visually curated focus on others’ lives intensified issues related to body image and perfectionism. Young people constantly exposed to unrealistic beauty standards began experiencing higher levels of anxiety, depression, and dissatisfaction with their own bodies. The need for approval through platform interactions also increased social pressure. </p>",https://www.youtube.com/watch?v=bglIiiGj8Bs,,,,,,https://t4.ftcdn.net/jpg/06/55/50/69/360_F_655506911_1p13PsGKM93SuCePkLUcd75TW1Bzu4jg.jpg,
2011,9,16,,,,,,,Snapchat,"<p> <a href=""https://en.wikipedia.org/wiki/Snapchat"" style=""color: inherit; text-decoration: none; background-image: linear-gradient(to top, yellow 40%, transparent 40%); background-repeat: no-repeat; background-size: 100% 1.2em; background-position: 0 100%;"">Snapchat</a> introduced the idea of <strong>ephemeral content</strong>, changing how young people share everyday moments. It encouraged a more <em>spontaneous and less polished</em> way of communicating, but also increased the <a href=""https://en.wikipedia.org/wiki/Fear_of_missing_out"">Fear of Missing Out (FOMO)</a> and a feeling of <strong>always being online</strong>. The pressure to reply quickly before snaps disappear led to <em>social anxiety</em> and a need for instant validation. This blurred the line between <strong>real connection</strong> and performing for others online, raising concerns about mental health and self-esteem in a very visual digital world. </p> <blockquote> Snapchat lets people share quick moments that disappear after being seen. </blockquote>",,,,,,,https://img.freepik.com/premium-photo/snapchat-logo-neon-with-space-text-graphics-yellow-background_494516-184.jpg,
2016,9,26,,,,,,,TikTok,"<p>
<a href=""https://en.wikipedia.org/wiki/TikTok"" style=""text-decoration: none;"">
<strong>TikTok</strong>
</a>, which became globally popular, offers an <em>addictive experience</em> through short videos and a highly personalized algorithm.
</p>
<ul>
  <li><strong>Engagement:</strong> The algorithm keeps users hooked with an endless stream of content.</li>
  <li><strong>Impact on focus:</strong> Constant fast-paced videos have reduced <em>attention spans</em> in many young users.</li>
  <li><strong>Positive outcomes:</strong> Teens use the app to express <em>creativity, identity, and emotion</em>.</li>
  <li><strong>Community:</strong> Shared trends and music help users feel <em>seen and connected</em>.</li>
  <li><strong>Balance:</strong> When used in <em>moderation</em>, it can offer uplifting and entertaining moments.</li>
</ul>
<blockquote>
TikTok is a space where short videos spark creativity, connection, and continuous scrolling.
</blockquote>
",https://youtu.be/DYMmHIOD7wA?feature=shared ,,,,,,https://t3.ftcdn.net/jpg/04/48/07/80/360_F_448078061_pUoKDDtqrGeQAS4kOMSRW4cUaqarT8dD.jpg ,
2020,,,,,,,,,BeReal,"<p>
In the <time datetime=""2020s"">2020s</time>, new <strong>social media platforms</strong> and <em>digital experiences</em> are changing how we connect with others. For example, 
<a href=""https://en.wikipedia.org/wiki/BeReal_(app)"" style=""text-decoration: underline;"">
<strong>BeReal</strong>
</a> is an app that encourages people to share <mark>real, unedited moments</mark> from their daily lives. This helps reduce the pressure to look perfect and shows a more honest side of life.
</p>
<p>
At the same time, virtual worlds like 
<a href=""https://en.wikipedia.org/wiki/Horizon_Worlds"" style=""
  background-color: yellow;
  border-radius: 0.3em;
  padding: 0 0.15em;
  text-decoration: none;
  color: inherit;"">
<strong>Horizon Worlds</strong>
</a> in the metaverse let people meet and interact in <em>3D online spaces</em> using avatars.
</p>
<ul>
  <li>These new ways of socializing can help people feel like they <strong>belong</strong> and <strong>make new friends</strong>.</li>
  <li>Challenges include spending too much time in virtual worlds and reducing real-life interactions, which may cause <em>loneliness</em> and <em>isolation</em>.</li>
  <li>Technology can bring people together, but it <u>cannot fully replace</u> <strong>face-to-face connections</strong>.</li>
</ul>
<span class=""summary-note"">
The future of socializing blends real moments with virtual experiences, balancing connection and authenticity.
</span>
",https://youtu.be/uGITKbgv72Q?feature=shared,,,,,,https://t3.ftcdn.net/jpg/02/49/64/56/360_F_249645657_ItyPSZ5b14Bqdc2rtoOzlEq5Z7SQpd7x.jpg,
2025,,,,,,,,,Conclusion,"<p>
Social media has <strong>profoundly transformed</strong> how young people interact, communicate, and form relationships. These platforms open up <em>unprecedented opportunities</em> to connect, discover communities, and express creativity in meaningful ways.
</p>
<p>
However, there are important risks to consider:
</p>
<dl>
  <dt><strong>Anxiety, Depression, Cyberbullying</strong></dt>
  <dd>Psychological effects commonly experienced by young users.</dd>

  <dt><strong>Feelings of Inadequacy</strong></dt>
  <dd>Caused by constant comparison with others on social media.</dd>

  <dt><strong>Variable Impact</strong></dt>
  <dd>Depends on platform type, usage habits, and presence of emotional support systems.</dd>
</dl>
<p>
When balanced with offline life and support from family, friends, or mental health resources, social media can have <mark>positive effects</mark>. Without guidance, however, it may lead to <u>negative mental health outcomes</u>.
</p>",https://media.licdn.com/dms/image/v2/D4D12AQHKvoSb4W1gfw/article-cover_image-shrink_600_2000/article-cover_image-shrink_600_2000/0/1716464434328?e=2147483647&v=beta&t=NxsVDQX5hkfPVKRBu5PJjsN-Gm8A0AdiMqztN6terBg,,,,,,https://img.freepik.com/free-vector/social-media-icons_53876-89124.jpg?semt=ais_hybrid&w=740,
